#,emp_no,first_name,last_name,birth_date,from_date,to_date,title
156,43733,Huei,Boguraev,1965-01-26,1993-12-31,9999-01-01,Senior Staff
157,43848,Phillip,Oxenboll,1965-01-11,1999-05-26,9999-01-01,Engineer
158,44054,Alenka,Ritcey,1965-01-18,1997-02-09,9999-01-01,Engineer
159,44265,Maria,Eppinger,1965-01-24,1997-01-30,9999-01-01,Engineer
160,44540,Mingzeng,Sadowski,1965-01-16,1989-11-12,9999-01-01,Senior Engineer
161,44900,Mark,Schwaller,1965-01-05,1994-08-10,9999-01-01,Senior Staff
162,44959,Volkmar,Uhrik,1965-01-21,1988-01-16,9999-01-01,Senior Engineer
163,44962,Sariel,Wynblatt,1965-01-16,1996-05-18,9999-01-01,Assistant Engineer
164,45162,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01,Senior Engineer
165,46000,Zhaofang,Penn,1965-01-26,1997-07-24,9999-01-01,Senior Staff
166,46328,Wuxu,Trogemann,1965-01-05,1997-01-27,9999-01-01,Senior Staff
167,46811,Junsik,Berendt,1965-01-10,1988-04-27,9999-01-01,Senior Engineer
168,46834,Tooru,Daescu,1965-01-22,1998-03-20,9999-01-01,Senior Staff
169,46943,Pasqua,Maraist,1965-01-31,1993-12-06,9999-01-01,Senior Engineer
170,47016,Toong,Litecky,1965-01-03,1989-03-01,9999-01-01,Senior Staff
171,47139,Marco,Usdin,1965-01-25,1996-10-29,9999-01-01,Engineer
172,47262,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01,Senior Engineer
173,47515,Naraig,Jenevein,1965-01-26,1987-01-18,9999-01-01,Senior Engineer
174,47702,Juyoung,Vieri,1965-01-21,1991-08-12,9999-01-01,Senior Staff
175,47708,Edwin,Haldar,1965-01-05,1995-07-12,9999-01-01,Senior Staff
176,48275,Sariel,Massonet,1965-01-29,1987-11-20,9999-01-01,Senior Staff
177,48690,Hitomi,Schaap,1965-01-12,1999-09-27,9999-01-01,Staff
178,48882,Leen,Lamparter,1965-01-28,1993-06-07,9999-01-01,Senior Engineer
179,48904,Yuichiro,Malabarba,1965-01-23,1994-03-07,9999-01-01,Senior Staff
180,48947,Filipp,Akaboshi,1965-01-05,1992-05-20,9999-01-01,Senior Staff
181,49010,Kazuhisa,Benantar,1965-01-16,1989-10-23,1990-03-30,Senior Staff
182,49017,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01,Senior Engineer
183,49119,Lena,Peek,1965-01-09,1991-05-16,9999-01-01,Senior Engineer
184,49177,Tze,Bach,1965-01-03,1999-03-09,9999-01-01,Engineer
185,49464,Siddarth,Cappelletti,1965-01-14,1999-09-10,9999-01-01,Staff
186,49477,Baocai,Leaver,1965-01-14,1998-08-05,9999-01-01,Senior Staff
187,50293,Xinan,Rindone,1965-01-26,1996-10-08,9999-01-01,Engineer
188,50311,Mooi,Stafford,1965-01-24,1996-10-06,9999-01-01,Senior Engineer
189,50453,Aron,Harbusch,1965-01-12,1997-10-02,9999-01-01,Staff
190,50670,Boguslaw,Snedden,1965-01-30,1985-02-20,9999-01-01,Senior Staff
191,50831,Marie,Khalid,1965-01-06,1990-10-27,1996-06-11,Senior Engineer
192,51036,Chriss,Fasbender,1965-01-29,1995-05-23,9999-01-01,Staff
193,51057,Theirry,Albarhamtoshy,1965-01-29,1991-09-27,9999-01-01,Senior Staff
194,51060,Youngkon,Rohrbach,1965-01-15,1989-10-20,9999-01-01,Senior Engineer
195,51142,Rosine,Lakshmanan,1965-01-29,1986-01-31,9999-01-01,Senior Engineer
196,52038,Chikako,Armand,1965-01-13,1985-05-18,9999-01-01,Senior Engineer
197,52040,Phule,Heijenga,1965-01-14,1992-02-22,1996-12-08,Senior Staff
198,52283,Trygve,Krupka,1965-01-20,1994-03-11,9999-01-01,Senior Staff
199,52386,Adas,Denti,1965-01-28,1986-05-30,9999-01-01,Senior Staff
200,52590,Jouni,Munoz,1965-01-21,1995-11-26,1996-10-07,Senior Staff
201,52599,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01,Senior Engineer
202,52639,Arup,Colorni,1965-01-09,1996-02-05,9999-01-01,Senior Staff
203,52770,Shugo,Yurek,1965-01-31,1992-08-28,9999-01-01,Senior Staff
204,52778,Alain,Penn,1965-01-15,1986-05-03,9999-01-01,Technique Leader
205,52956,Khalil,Picci,1965-01-31,1998-11-24,9999-01-01,Senior Engineer
206,52970,Lobel,Werthner,1965-01-22,1988-03-17,9999-01-01,Senior Engineer
207,53278,Premsyl,Lortz,1965-01-31,1993-02-01,9999-01-01,Senior Staff
208,53314,Eberhardt,Carrera,1965-01-06,1999-02-23,9999-01-01,Staff
209,53431,Sham,Vasanthakumar,1965-01-12,1985-10-24,1993-05-24,Senior Staff
210,53499,Zdislav,Mandelberg,1965-01-20,1994-09-11,9999-01-01,Senior Engineer
211,53597,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01,Senior Engineer
212,53874,Bodo,Schade,1965-01-23,1986-02-14,9999-01-01,Senior Staff
213,53924,Arnould,Gaughan,1965-01-27,1991-01-23,9999-01-01,Senior Engineer
214,54198,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Senior Engineer
215,54632,Etsuo,Serot,1965-01-19,1989-06-14,9999-01-01,Senior Staff
216,54795,Sumant,Nergos,1965-01-29,1994-03-02,9999-01-01,Senior Staff
217,54800,Breannda,Cangellaris,1965-01-13,2000-01-27,9999-01-01,Staff
218,55640,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01,Senior Engineer
219,55687,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01,Senior Engineer
220,55799,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01,Senior Engineer
221,55857,Adin,Scallan,1965-01-18,1987-09-15,9999-01-01,Senior Staff
222,56105,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01,Senior Engineer
223,56209,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01,Senior Engineer
224,56415,Sigeru,Nivat,1965-01-30,1991-10-24,9999-01-01,Senior Staff
225,56428,Olivera,Hanabata,1965-01-27,1986-11-10,9999-01-01,Senior Staff
226,56682,Roded,Picco,1965-01-28,1993-11-06,9999-01-01,Assistant Engineer
227,56829,Nagui,Gruenwald,1965-01-09,1995-12-24,1997-06-14,Engineer
228,56847,Menkae,Chinin,1965-01-14,1989-08-19,1998-08-27,Senior Engineer
229,57934,Sanjoy,Boudaillier,1965-01-25,1989-12-27,9999-01-01,Senior Engineer
230,58141,Bezalel,Karner,1965-01-05,1994-09-27,9999-01-01,Staff
231,58147,Shigenori,Sullins,1965-01-09,1988-02-24,9999-01-01,Senior Staff
232,58384,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01,Senior Engineer
233,58454,Ziya,Zambonelli,1965-01-25,1999-06-29,9999-01-01,Engineer
234,58497,Yechiam,Cairo,1965-01-22,2000-10-21,9999-01-01,Senior Staff
235,58819,Gennady,Liesche,1965-01-04,1987-12-02,9999-01-01,Senior Staff
236,58990,Palash,Trelles,1965-01-04,1998-11-18,9999-01-01,Engineer
237,59195,Ronnie,Pollock,1965-01-08,1990-06-19,9999-01-01,Technique Leader
238,59640,Zita,Hiltgen,1965-01-18,1999-01-26,9999-01-01,Staff
239,59869,Zsolt,Riefers,1965-02-01,1987-09-25,9999-01-01,Senior Staff
240,59966,Steen,Salvesen,1965-01-28,1993-02-03,9999-01-01,Technique Leader
241,60000,Heekeun,Emmart,1965-01-16,1995-09-23,9999-01-01,Engineer
242,60091,Surveyors,Bade,1965-02-01,1990-04-11,9999-01-01,Senior Staff
243,60238,Erzsebet,Claffy,1965-01-23,1999-02-19,9999-01-01,Staff
244,60559,Jeanna,Stemann,1965-01-19,1988-08-29,9999-01-01,Senior Engineer
245,60821,Moty,Mersereau,1965-01-02,1991-09-03,9999-01-01,Senior Staff
246,60845,Bedir,Siegrist,1965-01-14,1997-05-13,9999-01-01,Engineer
247,60875,Rildo,Masaki,1965-01-21,1990-01-14,9999-01-01,Senior Engineer
248,60959,Tetsushi,Sridhar,1965-01-09,1989-10-19,9999-01-01,Senior Staff
249,61147,Leszek,Werthner,1965-01-30,1999-03-03,9999-01-01,Staff
250,61253,Cheong,Uhrik,1965-01-09,1996-06-04,2002-05-09,Senior Engineer
251,61377,Dannz,Ohori,1965-01-01,1997-04-13,9999-01-01,Senior Staff
252,61541,Kasidit,Papsdorf,1965-01-08,1993-08-17,9999-01-01,Senior Engineer
253,61873,Woody,Rusmann,1965-01-19,1993-02-26,9999-01-01,Engineer
254,62033,Heeju,Cappelli,1965-01-24,1987-01-15,9999-01-01,Senior Engineer
255,62046,Karlis,Nanard,1965-01-31,1992-09-19,9999-01-01,Senior Engineer
256,62245,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01,Engineer
257,63294,Tetsushi,Tanemo,1965-01-23,1997-03-01,9999-01-01,Senior Engineer
258,63419,Hiroyasu,Seuren,1965-01-14,1989-03-05,9999-01-01,Senior Engineer
259,63441,Hinrich,Scallan,1965-01-15,1999-04-04,9999-01-01,Staff
260,63566,Heekeun,Slaats,1965-01-31,1999-01-12,9999-01-01,Senior Staff
261,63631,Falguni,Cherinka,1965-01-22,1987-10-15,9999-01-01,Senior Engineer
262,63706,Sedat,Itzigehl,1965-01-26,1997-07-31,9999-01-01,Engineer
263,64023,Laurentiu,Benzmuller,1965-01-11,1999-11-08,9999-01-01,Senior Engineer
264,64209,Golgen,Schoegge,1965-01-24,1988-02-26,9999-01-01,Senior Staff
265,64487,Tsutomu,Rebaine,1965-01-27,1986-09-17,9999-01-01,Senior Engineer
266,64532,Atilio,Segond,1965-01-23,1990-11-29,9999-01-01,Senior Engineer
267,64632,Zsolt,Brender,1965-01-07,1996-02-21,9999-01-01,Senior Staff
268,64790,Shin,Piveteau,1965-01-29,1985-04-19,9999-01-01,Senior Engineer
269,64828,Krister,Pappas,1965-01-27,1999-09-30,9999-01-01,Staff
270,64984,Eldridge,Eldridge,1965-01-06,1994-08-04,9999-01-01,Senior Engineer
271,65171,Jeane,Tasistro,1965-01-25,1994-07-06,9999-01-01,Technique Leader
272,65539,Aksel,Picaronny,1965-01-23,1991-01-27,9999-01-01,Senior Engineer
273,65883,Patricia,Pepe,1965-01-07,1991-04-19,9999-01-01,Senior Staff
274,65998,Mandell,Alameldin,1965-01-09,1989-04-08,9999-01-01,Senior Staff
275,66382,Domenico,Candan,1965-01-04,1997-07-13,9999-01-01,Engineer
276,66530,Dung,Leaver,1965-01-29,1998-04-04,9999-01-01,Staff
277,66643,Jianhao,Tomescu,1965-01-18,1996-08-26,9999-01-01,Engineer
278,66702,Deniz,Thibadeau,1965-02-01,1994-09-27,9999-01-01,Senior Engineer
279,66757,Yonghong,Baig,1965-01-16,1999-04-10,9999-01-01,Staff
280,66807,Aiman,Rosaz,1965-01-21,1990-05-22,9999-01-01,Senior Engineer
281,67320,Sadok,Lorys,1965-01-18,1987-05-10,9999-01-01,Senior Staff
282,67548,Fumitaka,Roohalamini,1965-01-11,1998-06-27,9999-01-01,Staff
283,67934,Aiman,Gargeya,1965-01-07,1985-03-07,9999-01-01,Senior Engineer
284,68416,Munenori,Debuse,1965-01-27,1990-11-08,9999-01-01,Senior Engineer
285,68608,Yucai,Seghrouchni,1965-01-26,1989-06-09,9999-01-01,Senior Engineer
286,68633,Chinhyun,Rassart,1965-01-28,1993-07-29,9999-01-01,Senior Engineer
287,68648,Jaques,DiGiano,1965-01-25,1992-04-01,9999-01-01,Technique Leader
288,69052,Shietung,Shrader,1965-01-26,1995-08-05,9999-01-01,Senior Staff
289,69219,Shuky,Redmiles,1965-01-09,1994-11-19,9999-01-01,Senior Staff
290,69867,Miyeon,Rothe,1965-01-22,1991-04-09,9999-01-01,Senior Staff
291,69878,Chinya,Cooke,1965-01-24,1997-01-29,9999-01-01,Engineer
292,69936,Lalit,Unni,1965-01-23,1998-12-06,1999-01-31,Assistant Engineer
293,70469,Tru,Miyakawa,1965-01-12,1990-09-03,9999-01-01,Senior Staff
294,70990,Arumugam,Nitta,1965-01-22,1990-03-23,9999-01-01,Senior Engineer
295,71066,Domenick,Basart,1965-01-27,1996-01-05,9999-01-01,Senior Staff
296,71141,Sajjad,Vitiello,1965-01-02,1992-02-17,9999-01-01,Senior Staff
297,71188,Pranjal,Schapiro,1965-01-02,1986-12-14,9999-01-01,Senior Staff
298,71243,Kinh,Buchter,1965-01-10,1986-03-29,9999-01-01,Senior Engineer
299,71334,Cathie,Peck,1965-01-15,2001-03-04,9999-01-01,Senior Engineer
300,71685,Kristinn,Olano,1965-01-01,1989-10-03,9999-01-01,Senior Engineer
301,71710,Hitomi,Takanami,1965-01-31,1997-12-15,9999-01-01,Assistant Engineer
302,71745,Adil,Laventhal,1965-01-02,1992-05-13,9999-01-01,Engineer
303,72190,Sajjad,Waeselynck,1965-01-19,1999-09-13,9999-01-01,Engineer
304,72194,Feiyu,Siepmann,1965-01-26,1998-10-01,9999-01-01,Senior Engineer
305,72232,Naraig,Veldwijk,1965-01-10,1989-07-10,9999-01-01,Senior Engineer
306,72640,Honglan,Hutton,1965-01-24,1993-10-04,9999-01-01,Senior Engineer
307,72918,Takahira,Szilard,1965-01-22,1988-01-16,9999-01-01,Senior Staff
308,73076,Froduald,Feldhoffer,1965-01-22,1993-03-16,9999-01-01,Senior Engineer
309,73233,Shigeo,Merey,1965-01-15,1985-07-30,9999-01-01,Senior Engineer
310,73516,Qingxiang,Badache,1965-01-14,1989-06-25,9999-01-01,Senior Engineer
311,73743,Anneke,Bernardeschi,1965-01-15,1999-11-01,2000-10-15,Engineer
312,74200,Holgard,Weiland,1965-01-16,1991-09-24,9999-01-01,Senior Engineer
313,74344,Hiroyasu,Provine,1965-02-01,1994-11-25,9999-01-01,Engineer
314,74668,Masako,Bonifati,1965-01-01,1987-04-09,9999-01-01,Senior Staff
315,74800,Yuuichi,Conde,1965-01-25,1989-03-08,9999-01-01,Senior Engineer
316,75354,Shuky,Jakobus,1965-01-11,1986-06-16,9999-01-01,Senior Engineer
317,75703,Kyoichi,Erman,1965-01-08,1996-07-25,9999-01-01,Senior Engineer
318,76189,Kolar,Hinsberger,1965-01-02,1986-10-20,9999-01-01,Senior Engineer
